Time,#Frame,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,FMSQ
2025-03-07 12:06:10.180,1,-0.04361941,3.572875e-07,1.559951e-08,0.9990483,355.0,4.098114e-05,-2.04333e-13,1
2025-03-07 12:06:10.721,2,-0.04361941,1.627656e-07,7.106503e-09,0.9990483,355.0,1.866934e-05,-1.532498e-13,1
2025-03-07 12:06:10.755,3,0.04361941,-1.627656e-07,-7.106503e-09,-0.9990483,355.0,1.866934e-05,-1.532498e-13,1
2025-03-07 12:06:10.856,4,0.02275487,-0.4257383,0.03094651,-0.9040306,359.1525,50.46661,355.6794,1
2025-03-07 12:06:10.903,5,0.02312522,-0.426438,0.03189915,-0.9036584,359.1641,50.5578,355.5618,1
2025-03-07 12:06:10.935,6,0.02331299,-0.4266468,0.03227228,-0.9035417,359.164,50.58553,355.5138,1
2025-03-07 12:06:10.964,7,0.02316177,-0.4267701,0.0323559,-0.9034844,359.1843,50.60033,355.5124,1
2025-03-07 12:06:10.994,8,0.02292369,-0.4267946,0.03210592,-0.9034879,359.1968,50.60195,355.55,1
2025-03-07 12:06:11.023,9,0.02242477,-0.4266907,0.03219862,-0.9035461,359.2525,50.58606,355.5649,1
2025-03-07 12:06:11.053,10,0.02244351,-0.4264445,0.03208805,-0.9036657,359.2439,50.55494,355.5757,1
2025-03-07 12:06:11.083,11,0.02281192,-0.426089,0.03234784,-0.903815,359.2168,50.51212,355.531,1
2025-03-07 12:06:11.110,12,0.02304241,-0.4258388,0.03324316,-0.9038946,359.2355,50.48223,355.427,1
2025-03-07 12:06:11.138,13,0.02284133,-0.4258155,0.03352645,-0.9039001,359.27,50.47829,355.4075,1
2025-03-07 12:06:11.164,14,0.0230874,-0.4259623,0.0336986,-0.9038182,359.2537,50.49837,355.3775,1
2025-03-07 12:06:11.191,15,0.02320435,-0.426141,0.03394215,-0.903722,359.2544,50.52179,355.3464,1
2025-03-07 12:06:11.219,16,0.02358934,-0.4263905,0.03405796,-0.90359,359.2216,50.55568,355.3153,1
2025-03-07 12:06:11.246,17,0.02398658,-0.4267156,0.03442043,-0.9034123,359.1999,50.59938,355.2579,1
2025-03-07 12:06:11.272,18,0.02422607,-0.4268596,0.03494222,-0.9033178,359.2014,50.61935,355.1919,1
2025-03-07 12:06:11.300,19,0.02463964,-0.4269871,0.03508336,-0.903241,359.1663,50.63807,355.1569,1
2025-03-07 12:06:11.328,20,0.02503725,-0.4270019,0.03529299,-0.9032149,359.1355,50.64249,355.1156,1
2025-03-07 12:06:11.355,21,0.02516533,-0.4270251,0.03539712,-0.9031962,359.1275,50.64628,355.0985,1
2025-03-07 12:06:11.381,22,0.02495013,-0.427009,0.03527993,-0.9032144,359.1439,50.64285,355.1212,1
2025-03-07 12:06:11.409,23,0.02466935,-0.4268652,0.03526017,-0.9032909,359.1712,50.62291,355.1372,1
2025-03-07 12:06:11.437,24,0.02421506,-0.4265011,0.03535361,-0.9034715,359.2208,50.5741,355.1501,1
2025-03-07 12:06:11.464,25,0.02400886,-0.4261354,0.0353284,-0.9036505,359.239,50.52656,355.1631,1
2025-03-07 12:06:11.491,26,0.0237879,-0.4259005,0.03536186,-0.9037657,359.2622,50.49553,355.1707,1
2025-03-07 12:06:11.519,27,0.02382496,-0.4256903,0.03533369,-0.9038649,359.2559,50.46912,355.172,1
2025-03-07 12:06:11.547,28,0.02400852,-0.4255504,0.03509944,-0.9039351,359.2247,50.45239,355.1874,1
2025-03-07 12:06:11.575,29,0.02359289,-0.4254794,0.03515397,-0.9039773,359.27,50.44096,355.2022,1
2025-03-07 12:06:11.603,30,0.02295236,-0.4253732,0.03539233,-0.9040345,359.3474,50.42386,355.2089,1
2025-03-07 12:06:11.630,31,0.02228233,-0.4252464,0.03537745,-0.9041114,359.4154,50.40393,355.2433,1
2025-03-07 12:06:11.657,32,0.02168419,-0.4251159,0.03553612,-0.9041811,359.4844,50.38406,355.2561,1
2025-03-07 12:06:11.688,33,0.02101383,-0.4247654,0.035484,-0.9043638,359.5494,50.33592,355.2944,1
2025-03-07 12:06:11.721,34,0.02030312,-0.4243285,0.03556868,-0.9045817,359.6249,50.27675,355.3205,1
2025-03-07 12:06:11.747,35,0.01926113,-0.4239667,0.03587312,-0.9047621,359.7459,50.22543,355.3398,1
2025-03-07 12:06:11.776,36,0.01845075,-0.4237217,0.0357894,-0.9048971,359.8245,50.19013,355.388,1
2025-03-07 12:06:11.807,37,0.01777297,-0.4233541,0.03562643,-0.9050891,359.885,50.14014,355.4379,1
2025-03-07 12:06:11.835,38,0.01694497,-0.4229784,0.03547786,-0.9052864,359.9618,50.08844,355.4936,1
2025-03-07 12:06:11.863,39,0.01617613,-0.422673,0.03549851,-0.9054423,0.04099074,50.04603,355.5288,1
2025-03-07 12:06:11.891,40,0.0149645,-0.422152,0.03586276,-0.9056918,0.1817781,49.97433,355.5496,1
2025-03-07 12:06:11.920,41,0.0147611,-0.4217317,0.0358684,-0.9058908,0.2010967,49.92027,355.5588,1
2025-03-07 12:06:11.947,42,0.01442453,-0.4212112,0.0359062,-0.9061368,0.2353137,49.85294,355.571,1
2025-03-07 12:06:11.974,43,0.01429702,-0.4208866,0.03618108,-0.9062787,0.2602443,49.81131,355.5485,1
2025-03-07 12:06:12.002,44,0.01405997,-0.4204101,0.03634008,-0.9064972,0.2901941,49.75002,355.5432,1
2025-03-07 12:06:12.031,45,0.01411117,-0.4202621,0.03643389,-0.9065613,0.2886735,49.73156,355.5309,1
2025-03-07 12:06:12.060,46,0.01431472,-0.4199533,0.03668329,-0.9066911,0.2780276,49.6935,355.4951,1
2025-03-07 12:06:12.090,47,0.01421492,-0.4196144,0.03662228,-0.9068519,0.2837766,49.65028,355.5061,1
